Date,Open,High,Low,Close,Adj Close,Volume
2/1/2013,204.649994,205.350006,203.839996,205.179993,171.755554,3370700
2/4/2013,204.190002,205.020004,203.570007,203.789993,170.59201,3188800
2/5/2013,204.309998,204.75,202.509995,202.789993,169.754913,3636900
2/6/2013,200.389999,201.289993,199.559998,201.020004,168.981522,3624200
2/7/2013,200.619995,200.910004,198.679993,199.740005,167.905548,3076700
2/8/2013,199.970001,202.089996,199.679993,201.679993,169.536331,2893300
2/11/2013,200.979996,201.949997,199.75,200.160004,168.258591,2944700
2/12/2013,200.009995,200.740005,199.020004,200.039993,168.157745,2461800
2/13/2013,200.649994,200.949997,199.570007,200.089996,168.199768,2169800
2/14/2013,199.729996,200.320007,199.259995,199.649994,167.82988,3294200
2/15/2013,199.979996,201.25,199.820007,200.979996,168.947922,3627800
2/19/2013,200.600006,201.889999,200.220001,200.320007,168.393097,2998300
2/20/2013,200.619995,201.720001,198.860001,199.309998,167.544052,3715400
2/21/2013,198.630005,199.070007,198.110001,198.330002,166.720291,3922900
2/22/2013,199.229996,201.089996,198.839996,201.089996,169.04039,3107900
2/25/2013,201.669998,202.490005,197.509995,197.509995,166.03096,3844800
2/26/2013,198.630005,199.899994,197.839996,199.139999,167.401154,3391600
2/27/2013,198.889999,202.75,198.600006,202.330002,170.082718,4185100
2/28/2013,202.179993,203.119995,200.789993,200.830002,168.821793,4689200
3/1/2013,200.649994,202.940002,199.360001,202.910004,170.570313,3308300
3/4/2013,202.589996,205.190002,202.550003,205.190002,172.486969,3693400
3/5/2013,205.860001,207.699997,205.690002,206.529999,173.613388,3807800
3/6/2013,207.029999,208.490005,206.660004,208.380005,175.168518,3594800
3/7/2013,208.289993,209.600006,208.240005,209.419998,176.042725,3884400
3/8/2013,209.850006,210.740005,209.429993,210.380005,176.849747,3700500
3/11/2013,210.039993,210.199997,209.039993,210.080002,176.597549,3049700
3/12/2013,209.399994,210.729996,209.089996,210.550003,176.99263,3591600
3/13/2013,210.199997,212.360001,209.770004,212.059998,178.262024,3355900
3/14/2013,212.149994,215.860001,212.149994,215.800003,181.405945,5505500
3/15/2013,215.380005,215.899994,213.410004,214.919998,180.666153,7930300
3/18/2013,212.899994,214.5,212.639999,213.210007,179.228653,3006000
3/19/2013,214.130005,215.119995,211.830002,213.440002,179.422028,3198600
3/20/2013,214.759995,215.820007,214.300003,215.059998,180.783844,3019000
3/21/2013,212.960007,213,210.110001,212.259995,178.430069,5830400
3/22/2013,212.210007,213.169998,211.619995,212.080002,178.278763,3031500
3/25/2013,212.539993,212.809998,210.050003,210.740005,177.152328,3242500
